From	To	Species	Gene Name
LRMP	ENSG00000118308	Homo sapiens	lymphoid restricted membrane protein(LRMP)
FAM153C	ENSG00000204677	Homo sapiens	family with sequence similarity 153, member C, pseudogene(FAM153C)
VCAN	ENSG00000038427	Homo sapiens	versican(VCAN)
TXK	ENSG00000074966	Homo sapiens	TXK tyrosine kinase(TXK)
IL12B	ENSG00000113302	Homo sapiens	interleukin 12B(IL12B)
FAM153A	ENSG00000170074	Homo sapiens	family with sequence similarity 153 member A(FAM153A)
THEM5	ENSG00000196407	Homo sapiens	thioesterase superfamily member 5(THEM5)
HLA-DQB1	ENSG00000179344	Homo sapiens	major histocompatibility complex, class II, DQ beta 1(HLA-DQB1)
CSF2	ENSG00000164400	Homo sapiens	colony stimulating factor 2(CSF2)
C7	ENSG00000112936	Homo sapiens	complement C7(C7)
MDS2	ENSG00000197880	Homo sapiens	myelodysplastic syndrome 2 translocation associated(MDS2)
LRRC32	ENSG00000137507	Homo sapiens	leucine rich repeat containing 32(LRRC32)
C3	ENSG00000125730	Homo sapiens	complement C3(C3)
CSF1	ENSG00000184371	Homo sapiens	colony stimulating factor 1(CSF1)
ZNF556	ENSG00000172000	Homo sapiens	zinc finger protein 556(ZNF556)
FPR1	ENSG00000171051	Homo sapiens	formyl peptide receptor 1(FPR1)
LRRC36	ENSG00000159708	Homo sapiens	leucine rich repeat containing 36(LRRC36)
FPR3	ENSG00000187474	Homo sapiens	formyl peptide receptor 3(FPR3)
ZNF366	ENSG00000178175	Homo sapiens	zinc finger protein 366(ZNF366)
FPR2	ENSG00000171049	Homo sapiens	formyl peptide receptor 2(FPR2)
ZNF365	ENSG00000138311	Homo sapiens	zinc finger protein 365(ZNF365)
IL7R	ENSG00000168685	Homo sapiens	interleukin 7 receptor(IL7R)
CLEC10A	ENSG00000132514	Homo sapiens	C-type lectin domain family 10 member A(CLEC10A)
NECAB2	ENSG00000103154	Homo sapiens	N-terminal EF-hand calcium binding protein 2(NECAB2)
SORBS2	ENSG00000154556	Homo sapiens	sorbin and SH3 domain containing 2(SORBS2)
C2	ENSG00000166278	Homo sapiens	complement C2(C2)
PAPSS2	ENSG00000198682	Homo sapiens	3'-phosphoadenosine 5'-phosphosulfate synthase 2(PAPSS2)
KNDC1	ENSG00000171798	Homo sapiens	kinase non-catalytic C-lobe domain containing 1(KNDC1)
HPGDS	ENSG00000163106	Homo sapiens	hematopoietic prostaglandin D synthase(HPGDS)
IL4	ENSG00000113520	Homo sapiens	interleukin 4(IL4)
PTX4	ENSG00000251692	Homo sapiens	pentraxin 4(PTX4)
IL3	ENSG00000164399	Homo sapiens	interleukin 3(IL3)
IL6	ENSG00000136244	Homo sapiens	interleukin 6(IL6)
IL5	ENSG00000113525	Homo sapiens	interleukin 5(IL5)
IL7	ENSG00000104432	Homo sapiens	interleukin 7(IL7)
PDK4	ENSG00000004799	Homo sapiens	pyruvate dehydrogenase kinase 4(PDK4)
IL9	ENSG00000145839	Homo sapiens	interleukin 9(IL9)
LRRC43	ENSG00000158113	Homo sapiens	leucine rich repeat containing 43(LRRC43)
AXL	ENSG00000167601	Homo sapiens	AXL receptor tyrosine kinase(AXL)
NTNG1	ENSG00000162631	Homo sapiens	netrin G1(NTNG1)
IGF1	ENSG00000017427	Homo sapiens	insulin like growth factor 1(IGF1)
QPCT	ENSG00000115828	Homo sapiens	glutaminyl-peptide cyclotransferase(QPCT)
CDH12	ENSG00000154162	Homo sapiens	cadherin 12(CDH12)
FSD1	ENSG00000105255	Homo sapiens	fibronectin type III and SPRY domain containing 1(FSD1)
DUSP2	ENSG00000158050	Homo sapiens	dual specificity phosphatase 2(DUSP2)
STAB1	ENSG00000010327	Homo sapiens	stabilin 1(STAB1)
BNC2	ENSG00000173068	Homo sapiens	basonuclin 2(BNC2)
SLFN13	ENSG00000154760	Homo sapiens	schlafen family member 13(SLFN13)
PRSS23	ENSG00000150687	Homo sapiens	protease, serine 23(PRSS23)
HPGD	ENSG00000164120	Homo sapiens	hydroxyprostaglandin dehydrogenase 15-(NAD)(HPGD)
WNT7A	ENSG00000154764	Homo sapiens	Wnt family member 7A(WNT7A)
LRP4	ENSG00000134569	Homo sapiens	LDL receptor related protein 4(LRP4)
ZMYND15	ENSG00000141497	Homo sapiens	zinc finger MYND-type containing 15(ZMYND15)
ENHO	ENSG00000168913	Homo sapiens	energy homeostasis associated(ENHO)
CDH11	ENSG00000140937	Homo sapiens	cadherin 11(CDH11)
SLC8A3	ENSG00000100678	Homo sapiens	solute carrier family 8 member A3(SLC8A3)
GNA14	ENSG00000156049	Homo sapiens	G protein subunit alpha 14(GNA14)
IL16	ENSG00000172349	Homo sapiens	interleukin 16(IL16)
IL13	ENSG00000169194	Homo sapiens	interleukin 13(IL13)
IL15	ENSG00000164136	Homo sapiens	interleukin 15(IL15)
CXCL11	ENSG00000169248	Homo sapiens	C-X-C motif chemokine ligand 11(CXCL11)
CXCL12	ENSG00000107562	Homo sapiens	C-X-C motif chemokine ligand 12(CXCL12)
CXCL10	ENSG00000169245	Homo sapiens	C-X-C motif chemokine ligand 10(CXCL10)
MARCO	ENSG00000019169	Homo sapiens	macrophage receptor with collagenous structure(MARCO)
GALR1	ENSG00000166573	Homo sapiens	galanin receptor 1(GALR1)
CDKN2B	ENSG00000147883	Homo sapiens	cyclin dependent kinase inhibitor 2B(CDKN2B)
BHLHA15	ENSG00000180535	Homo sapiens	basic helix-loop-helix family member a15(BHLHA15)
IL1B	ENSG00000125538	Homo sapiens	interleukin 1 beta(IL1B)
EBI3	ENSG00000105246	Homo sapiens	Epstein-Barr virus induced 3(EBI3)
IL1A	ENSG00000115008	Homo sapiens	interleukin 1 alpha(IL1A)
COCH	ENSG00000100473	Homo sapiens	cochlin(COCH)
POU2AF1	ENSG00000110777	Homo sapiens	POU class 2 associating factor 1(POU2AF1)
BEND6	ENSG00000151917	Homo sapiens	BEN domain containing 6(BEND6)
STAP1	ENSG00000035720	Homo sapiens	signal transducing adaptor family member 1(STAP1)
BST1	ENSG00000109743	Homo sapiens	bone marrow stromal cell antigen 1(BST1)
IL26	ENSG00000111536	Homo sapiens	interleukin 26(IL26)
PKIB	ENSG00000135549	Homo sapiens	protein kinase (cAMP-dependent, catalytic) inhibitor beta(PKIB)
IL21	ENSG00000138684	Homo sapiens	interleukin 21(IL21)
RPH3A	ENSG00000089169	Homo sapiens	rabphilin 3A(RPH3A)
MIAT	ENSG00000225783	Homo sapiens	myocardial infarction associated transcript (non-protein coding)(MIAT)
CD200R1L	ENSG00000206531	Homo sapiens	CD200 receptor 1 like(CD200R1L)
CCL1	ENSG00000108702	Homo sapiens	C-C motif chemokine ligand 1(CCL1)
ME1	ENSG00000065833	Homo sapiens	malic enzyme 1(ME1)
COBL	ENSG00000106078	Homo sapiens	cordon-bleu WH2 repeat protein(COBL)
C3AR1	ENSG00000171860	Homo sapiens	complement C3a receptor 1(C3AR1)
MAMDC2	ENSG00000165072	Homo sapiens	MAM domain containing 2(MAMDC2)
ST8SIA1	ENSG00000111728	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1(ST8SIA1)
CCL8	ENSG00000108700	Homo sapiens	C-C motif chemokine ligand 8(CCL8)
TMIGD2	ENSG00000167664	Homo sapiens	transmembrane and immunoglobulin domain containing 2(TMIGD2)
IL32	ENSG00000008517	Homo sapiens	interleukin 32(IL32)
CCL5	ENSG00000271503	Homo sapiens	C-C motif chemokine ligand 5(CCL5)
IL34	ENSG00000157368	Homo sapiens	interleukin 34(IL34)
CCL4	ENSG00000275302	Homo sapiens	C-C motif chemokine ligand 4(CCL4)
CCL7	ENSG00000108688	Homo sapiens	C-C motif chemokine ligand 7(CCL7)
IL12RB2	ENSG00000081985	Homo sapiens	interleukin 12 receptor subunit beta 2(IL12RB2)
RPL10L	ENSG00000165496	Homo sapiens	ribosomal protein L10 like(RPL10L)
RNF165	ENSG00000141622	Homo sapiens	ring finger protein 165(RNF165)
ICOS	ENSG00000163600	Homo sapiens	inducible T-cell costimulator(ICOS)
SCN9A	ENSG00000169432	Homo sapiens	sodium voltage-gated channel alpha subunit 9(SCN9A)
SLC35F3	ENSG00000183780	Homo sapiens	solute carrier family 35 member F3(SLC35F3)
EGF	ENSG00000138798	Homo sapiens	epidermal growth factor(EGF)
MUC1	ENSG00000185499	Homo sapiens	mucin 1, cell surface associated(MUC1)
NTN4	ENSG00000074527	Homo sapiens	netrin 4(NTN4)
NR4A1	ENSG00000123358	Homo sapiens	nuclear receptor subfamily 4 group A member 1(NR4A1)
ABCB1	ENSG00000085563	Homo sapiens	ATP binding cassette subfamily B member 1(ABCB1)
NR4A3	ENSG00000119508	Homo sapiens	nuclear receptor subfamily 4 group A member 3(NR4A3)
SLCO2B1	ENSG00000137491	Homo sapiens	solute carrier organic anion transporter family member 2B1(SLCO2B1)
AIM2	ENSG00000163568	Homo sapiens	absent in melanoma 2(AIM2)
ABCB4	ENSG00000005471	Homo sapiens	ATP binding cassette subfamily B member 4(ABCB4)
NTN3	ENSG00000162068	Homo sapiens	netrin 3(NTN3)
THSD7A	ENSG00000005108	Homo sapiens	thrombospondin type 1 domain containing 7A(THSD7A)
CDKN1C	ENSG00000129757	Homo sapiens	cyclin dependent kinase inhibitor 1C(CDKN1C)
LAMP3	ENSG00000078081	Homo sapiens	lysosomal associated membrane protein 3(LAMP3)
P2RX6	ENSG00000099957	Homo sapiens	purinergic receptor P2X 6(P2RX6)
CXCL14	ENSG00000145824	Homo sapiens	C-X-C motif chemokine ligand 14(CXCL14)
P2RX1	ENSG00000108405	Homo sapiens	purinergic receptor P2X 1(P2RX1)
S100B	ENSG00000160307	Homo sapiens	S100 calcium binding protein B(S100B)
DSG3	ENSG00000134757	Homo sapiens	desmoglein 3(DSG3)
CXCL13	ENSG00000156234	Homo sapiens	C-X-C motif chemokine ligand 13(CXCL13)
FREM1	ENSG00000164946	Homo sapiens	FRAS1 related extracellular matrix 1(FREM1)
EBF1	ENSG00000164330	Homo sapiens	early B-cell factor 1(EBF1)
RNF157	ENSG00000141576	Homo sapiens	ring finger protein 157(RNF157)
SYT17	ENSG00000103528	Homo sapiens	synaptotagmin 17(SYT17)
NAT8L	ENSG00000185818	Homo sapiens	N-acetyltransferase 8 like(NAT8L)
IER3	ENSG00000137331	Homo sapiens	immediate early response 3(IER3)
REG4	ENSG00000134193	Homo sapiens	regenerating family member 4(REG4)
CYP2S1	ENSG00000167600	Homo sapiens	cytochrome P450 family 2 subfamily S member 1(CYP2S1)
PAX5	ENSG00000196092	Homo sapiens	paired box 5(PAX5)
NIPSNAP3B	ENSG00000165028	Homo sapiens	nipsnap homolog 3B(NIPSNAP3B)
SKAP1	ENSG00000141293	Homo sapiens	src kinase associated phosphoprotein 1(SKAP1)
CASP5	ENSG00000137757	Homo sapiens	caspase 5(CASP5)
L1TD1	ENSG00000240563	Homo sapiens	LINE1 type transposase domain containing 1(L1TD1)
CLCA3P	ENSG00000153923	Homo sapiens	chloride channel accessory 3, pseudogene(CLCA3P)
SPRY1	ENSG00000164056	Homo sapiens	sprouty RTK signaling antagonist 1(SPRY1)
SLC1A3	ENSG00000079215	Homo sapiens	solute carrier family 1 member 3(SLC1A3)
BARX2	ENSG00000043039	Homo sapiens	BARX homeobox 2(BARX2)
PAX7	ENSG00000009709	Homo sapiens	paired box 7(PAX7)
SLC1A7	ENSG00000162383	Homo sapiens	solute carrier family 1 member 7(SLC1A7)
DSEL	ENSG00000171451	Homo sapiens	dermatan sulfate epimerase-like(DSEL)
TIE1	ENSG00000066056	Homo sapiens	tyrosine kinase with immunoglobulin like and EGF like domains 1(TIE1)
NRG1	ENSG00000157168	Homo sapiens	neuregulin 1(NRG1)
PTGER2	ENSG00000125384	Homo sapiens	prostaglandin E receptor 2(PTGER2)
PTGER3	ENSG00000050628	Homo sapiens	prostaglandin E receptor 3(PTGER3)
IL18RAP	ENSG00000115607	Homo sapiens	interleukin 18 receptor accessory protein(IL18RAP)
PTGER4	ENSG00000171522	Homo sapiens	prostaglandin E receptor 4(PTGER4)
SLC7A10	ENSG00000130876	Homo sapiens	solute carrier family 7 member 10(SLC7A10)
PCDH9	ENSG00000184226	Homo sapiens	protocadherin 9(PCDH9)
EDAR	ENSG00000135960	Homo sapiens	ectodysplasin A receptor(EDAR)
SIGLEC15	ENSG00000197046	Homo sapiens	sialic acid binding Ig like lectin 15(SIGLEC15)
SLC7A11	ENSG00000151012	Homo sapiens	solute carrier family 7 member 11(SLC7A11)
STXBP6	ENSG00000168952	Homo sapiens	syntaxin binding protein 6(STXBP6)
CA8	ENSG00000178538	Homo sapiens	carbonic anhydrase 8(CA8)
CA6	ENSG00000131686	Homo sapiens	carbonic anhydrase 6(CA6)
CA4	ENSG00000167434	Homo sapiens	carbonic anhydrase 4(CA4)
UBD	ENSG00000213886	Homo sapiens	ubiquitin D(UBD)
CNTN4	ENSG00000144619	Homo sapiens	contactin 4(CNTN4)
KIF19	ENSG00000196169	Homo sapiens	kinesin family member 19(KIF19)
TM4SF1	ENSG00000169908	Homo sapiens	transmembrane 4 L six family member 1(TM4SF1)
ANKRD34B	ENSG00000189127	Homo sapiens	ankyrin repeat domain 34B(ANKRD34B)
CRLF2	ENSG00000205755	Homo sapiens	cytokine receptor-like factor 2(CRLF2)
BRSK2	ENSG00000174672	Homo sapiens	BR serine/threonine kinase 2(BRSK2)
ISM1	ENSG00000101230	Homo sapiens	isthmin 1(ISM1)
HIC1	ENSG00000177374	Homo sapiens	HIC ZBTB transcriptional repressor 1(HIC1)
APLNR	ENSG00000134817	Homo sapiens	apelin receptor(APLNR)
HRH1	ENSG00000196639	Homo sapiens	histamine receptor H1(HRH1)
LRG1	ENSG00000171236	Homo sapiens	leucine rich alpha-2-glycoprotein 1(LRG1)
CLEC9A	ENSG00000197992	Homo sapiens	C-type lectin domain family 9 member A(CLEC9A)
HRH4	ENSG00000134489	Homo sapiens	histamine receptor H4(HRH4)
FCN1	ENSG00000085265	Homo sapiens	ficolin 1(FCN1)
CD2	ENSG00000116824	Homo sapiens	CD2 molecule(CD2)
CD4	ENSG00000010610	Homo sapiens	CD4 molecule(CD4)
FIBIN	ENSG00000176971	Homo sapiens	fin bud initiation factor homolog (zebrafish)(FIBIN)
GPNMB	ENSG00000136235	Homo sapiens	glycoprotein nmb(GPNMB)
CD6	ENSG00000013725	Homo sapiens	CD6 molecule(CD6)
CD5	ENSG00000110448	Homo sapiens	CD5 molecule(CD5)
CD7	ENSG00000173762	Homo sapiens	CD7 molecule(CD7)
NFATC1	ENSG00000131196	Homo sapiens	nuclear factor of activated T-cells 1(NFATC1)
MAF	ENSG00000178573	Homo sapiens	MAF bZIP transcription factor(MAF)
CEBPA	ENSG00000245848	Homo sapiens	CCAAT/enhancer binding protein alpha(CEBPA)
NOX3	ENSG00000074771	Homo sapiens	NADPH oxidase 3(NOX3)
TNFSF4	ENSG00000117586	Homo sapiens	tumor necrosis factor superfamily member 4(TNFSF4)
MAK	ENSG00000111837	Homo sapiens	male germ cell associated kinase(MAK)
THEMIS	ENSG00000172673	Homo sapiens	thymocyte selection associated(THEMIS)
KY	ENSG00000174611	Homo sapiens	kyphoscoliosis peptidase(KY)
MAL	ENSG00000172005	Homo sapiens	mal, T-cell differentiation protein(MAL)
KLK1	ENSG00000167748	Homo sapiens	kallikrein 1(KLK1)
TNFSF9	ENSG00000125657	Homo sapiens	tumor necrosis factor superfamily member 9(TNFSF9)
COL5A3	ENSG00000080573	Homo sapiens	collagen type V alpha 3 chain(COL5A3)
SAMSN1	ENSG00000155307	Homo sapiens	SAM domain, SH3 domain and nuclear localization signals 1(SAMSN1)
COL5A2	ENSG00000204262	Homo sapiens	collagen type V alpha 2 chain(COL5A2)
COL5A1	ENSG00000130635	Homo sapiens	collagen type V alpha 1 chain(COL5A1)
ZBED2	ENSG00000177494	Homo sapiens	zinc finger BED-type containing 2(ZBED2)
CYBB	ENSG00000165168	Homo sapiens	cytochrome b-245 beta chain(CYBB)
ID1	ENSG00000125968	Homo sapiens	inhibitor of DNA binding 1, HLH protein(ID1)
MEP1A	ENSG00000112818	Homo sapiens	meprin A subunit alpha(MEP1A)
DSC1	ENSG00000134765	Homo sapiens	desmocollin 1(DSC1)
ADAMDEC1	ENSG00000134028	Homo sapiens	ADAM like decysin 1(ADAMDEC1)
CADM1	ENSG00000182985	Homo sapiens	cell adhesion molecule 1(CADM1)
IL6ST	ENSG00000134352	Homo sapiens	interleukin 6 signal transducer(IL6ST)
LHCGR	ENSG00000138039	Homo sapiens	luteinizing hormone/choriogonadotropin receptor(LHCGR)
EDN1	ENSG00000078401	Homo sapiens	endothelin 1(EDN1)
NELL2	ENSG00000184613	Homo sapiens	neural EGFL like 2(NELL2)
CD52	ENSG00000169442	Homo sapiens	CD52 molecule(CD52)
LPAR1	ENSG00000198121	Homo sapiens	lysophosphatidic acid receptor 1(LPAR1)
KLHDC7A	ENSG00000179023	Homo sapiens	kelch domain containing 7A(KLHDC7A)
C1QC	ENSG00000159189	Homo sapiens	complement C1q C chain(C1QC)
GLDC	ENSG00000178445	Homo sapiens	glycine decarboxylase(GLDC)
CD44	ENSG00000026508	Homo sapiens	CD44 molecule (Indian blood group)(CD44)
IFNG	ENSG00000111537	Homo sapiens	interferon gamma(IFNG)
PLA1A	ENSG00000144837	Homo sapiens	phospholipase A1 member A(PLA1A)
COL12A1	ENSG00000111799	Homo sapiens	collagen type XII alpha 1 chain(COL12A1)
PI16	ENSG00000164530	Homo sapiens	peptidase inhibitor 16(PI16)
C5AR1	ENSG00000197405	Homo sapiens	complement C5a receptor 1(C5AR1)
CD3G	ENSG00000160654	Homo sapiens	CD3g molecule(CD3G)
CD3D	ENSG00000167286	Homo sapiens	CD3d molecule(CD3D)
CD3E	ENSG00000198851	Homo sapiens	CD3e molecule(CD3E)
PLD4	ENSG00000166428	Homo sapiens	phospholipase D family member 4(PLD4)
TIMD4	ENSG00000145850	Homo sapiens	T-cell immunoglobulin and mucin domain containing 4(TIMD4)
CD40	ENSG00000101017	Homo sapiens	CD40 molecule(CD40)
TMEM150B	ENSG00000180061	Homo sapiens	transmembrane protein 150B(TMEM150B)
C1QA	ENSG00000173372	Homo sapiens	complement C1q A chain(C1QA)
C1QB	ENSG00000173369	Homo sapiens	complement C1q B chain(C1QB)
CD38	ENSG00000004468	Homo sapiens	CD38 molecule(CD38)
VEGFC	ENSG00000150630	Homo sapiens	vascular endothelial growth factor C(VEGFC)
CD37	ENSG00000104894	Homo sapiens	CD37 molecule(CD37)
CCR7	ENSG00000126353	Homo sapiens	C-C motif chemokine receptor 7(CCR7)
CD36	ENSG00000135218	Homo sapiens	CD36 molecule(CD36)
PPBP	ENSG00000163736	Homo sapiens	pro-platelet basic protein(PPBP)
CCR5	ENSG00000160791	Homo sapiens	C-C motif chemokine receptor 5 (gene/pseudogene)(CCR5)
TACSTD2	ENSG00000184292	Homo sapiens	tumor-associated calcium signal transducer 2(TACSTD2)
CD34	ENSG00000174059	Homo sapiens	CD34 molecule(CD34)
CCR4	ENSG00000183813	Homo sapiens	C-C motif chemokine receptor 4(CCR4)
CD33	ENSG00000105383	Homo sapiens	CD33 molecule(CD33)
